Sequence 1, is of length 4080, mapped to Original, on beginning location of: 11173
Sequence 25336, is of length 7118, mapped to Original, on beginning location of: 3753191
Sequence 25339, is of length 11574, mapped to Original, on beginning location of: 4310599
Sequence 25342, is of length 10547, mapped to Original, on beginning location of: 11418
Sequence 25345, is of length 6311, mapped to Complement, on beginning location of: 9200
Sequence 25348, is of length 10843, mapped to Original, on beginning location of: 2010113
Sequence 25351, is of length 8664, mapped to Complement, on beginning location of: 41438
Sequence 25354, is of length 9818, mapped to Original, on beginning location of: 18058
Sequence 25357, is of length 6801, mapped to Complement, on beginning location of: 3572177
Sequence 25360, is of length 10910, mapped to Original, on beginning location of: 23105
Sequence 25363, is of length 8941, mapped to Original, on beginning location of: 4543081
Sequence 25366, is of length 9245, mapped to Original, on beginning location of: 2220165
Sequence 25369, is of length 9665, mapped to Original, on beginning location of: 25274
Sequence 25372, is of length 8100, mapped to Original, on beginning location of: 4604344
Sequence 25375, is of length 10448, mapped to Complement, on beginning location of: 4311011
Sequence 25378, is of length 9125, mapped to Complement, on beginning location of: 4264507
Sequence 25381, is of length 7856, mapped to Original, on beginning location of: 4604344
Sequence 25384, is of length 2135, mapped to Complement, on beginning location of: 3918248
Sequence 25387, is of length 8831, mapped to Original, on beginning location of: 3751947
Sequence 25390, is of length 13015, mapped to Original, on beginning location of: 45470
Sequence 25393, is of length 9178, mapped to Complement, on beginning location of: 7452
Sequence 25396, is of length 8039, mapped to Complement, on beginning location of: 3684974
Sequence 25399, is of length 10814, mapped to Original, on beginning location of: 13469
Sequence 25402, is of length 6956, mapped to Complement, on beginning location of: 14356
Sequence 25405, is of length 3961, mapped to Complement, on beginning location of: 713597
Sequence 25408, is of length 7612, mapped to Complement, on beginning location of: 25485
Sequence 25411, is of length 5313, mapped to Original, on beginning location of: 2833325
Sequence 25414, is of length 11875, mapped to Complement, on beginning location of: 28875
Sequence 25417, is of length 7346, mapped to Original, on beginning location of: 2337259
Sequence 25420, is of length 8458, mapped to Original, on beginning location of: 2844620
Sequence 25423, is of length 7160, mapped to Original, on beginning location of: 2328285
Sequence 25426, is of length 9265, mapped to Complement, on beginning location of: 5219
Sequence 25429, is of length 6668, mapped to Complement, on beginning location of: 2616179
Sequence 25432, is of length 6781, mapped to Complement, on beginning location of: 36509
Sequence 25435, is of length 6260, mapped to Original, on beginning location of: 3062576
Sequence 25438, is of length 3451, mapped to Complement, on beginning location of: 43636
Sequence 25441, is of length 5583, mapped to Complement, on beginning location of: 3907810
Sequence 25444, is of length 6286, mapped to Complement, on beginning location of: 934223
Sequence 25447, is of length 4836, mapped to Original, on beginning location of: 30308
Sequence 25450, is of length 12898, mapped to Original, on beginning location of: 22249
Sequence 25453, is of length 6847, mapped to Complement, on beginning location of: 2846700
Sequence 25456, is of length 1617, mapped to Complement, on beginning location of: 29614
Sequence 25459, is of length 5727, mapped to Original, on beginning location of: 367907
Sequence 25462, is of length 3522, mapped to Complement, on beginning location of: 1824193
Sequence 25465, is of length 6669, mapped to Complement, on beginning location of: 417331
Sequence 25468, is of length 9931, mapped to Original, on beginning location of: 4013938
Sequence 25471, is of length 6016, mapped to Original, on beginning location of: 1964385
Sequence 25474, is of length 5225, mapped to Complement, on beginning location of: 13933
Sequence 25477, is of length 2893, mapped to Original, on beginning location of: 1884913
Sequence 25480, is of length 12025, mapped to Original, on beginning location of: 2966537
Sequence 25483, is of length 4661, mapped to Original, on beginning location of: 3018880
Sequence 25486, is of length 5877, mapped to Original, on beginning location of: 18595
Sequence 25489, is of length 7477, mapped to Complement, on beginning location of: 3114745
Sequence 25492, is of length 7595, mapped to Original, on beginning location of: 1472565
Sequence 25495, is of length 5478, mapped to Complement, on beginning location of: 4301732
Sequence 25498, is of length 5726, mapped to Complement, on beginning location of: 18513
Sequence 25501, is of length 10773, mapped to Complement, on beginning location of: 1509106
Sequence 25504, is of length 16913, mapped to Complement, on beginning location of: 4026817
Sequence 25507, is of length 4457, mapped to Original, on beginning location of: 2769
Sequence 25510, is of length 3123, mapped to Complement, on beginning location of: 1697
Sequence 25513, is of length 10675, mapped to Complement, on beginning location of: 1075206
Sequence 25516, is of length 11677, mapped to Complement, on beginning location of: 2564920
Sequence 25519, is of length 9314, mapped to Complement, on beginning location of: 134049
Sequence 25522, is of length 7596, mapped to Original, on beginning location of: 37265
Sequence 25525, is of length 5147, mapped to Complement, on beginning location of: 1682749
Sequence 25528, is of length 7652, mapped to Complement, on beginning location of: 4415273
Sequence 25531, is of length 7698, mapped to Complement, on beginning location of: 35986
Sequence 25534, is of length 11608, mapped to Complement, on beginning location of: 20196
Sequence 25537, is of length 8639, mapped to Complement, on beginning location of: 4308092
Sequence 25540, is of length 8715, mapped to Complement, on beginning location of: 247
Sequence 25543, is of length 2465, mapped to Original, on beginning location of: 2013024
Sequence 25546, is of length 3025, mapped to Complement, on beginning location of: 24164
Sequence 25549, is of length 8521, mapped to Complement, on beginning location of: 978269
Sequence 25552, is of length 8547, mapped to Complement, on beginning location of: 4128186
Sequence 25555, is of length 9354, mapped to Complement, on beginning location of: 19048
Sequence 25558, is of length 7913, mapped to Complement, on beginning location of: 2597668
Sequence 25561, is of length 7032, mapped to Original, on beginning location of: 864354
Sequence 25564, is of length 8810, mapped to Complement, on beginning location of: 24210
Sequence 25567, is of length 7421, mapped to Complement, on beginning location of: 3478153
Sequence 25570, is of length 3381, mapped to Original, on beginning location of: 2250853
Sequence 25573, is of length 7023, mapped to Complement, on beginning location of: 42835
Sequence 25576, is of length 7954, mapped to Complement, on beginning location of: 43798
Sequence 25579, is of length 8182, mapped to Original, on beginning location of: 660431
Sequence 25582, is of length 7983, mapped to Original, on beginning location of: 2156289
Sequence 25585, is of length 8793, mapped to Original, on beginning location of: 7029
Sequence 25588, is of length 8308, mapped to Original, on beginning location of: 43798
Sequence 25591, is of length 16473, mapped to Original, on beginning location of: 23868
Sequence 25594, is of length 13403, mapped to Complement, on beginning location of: 3390331
Sequence 25597, is of length 7542, mapped to Complement, on beginning location of: 3029096
Sequence 25600, is of length 9230, mapped to Original, on beginning location of: 4623706
Sequence 25603, is of length 5994, mapped to Original, on beginning location of: 1154
Sequence 25606, is of length 12176, mapped to Original, on beginning location of: 21235
Sequence 25609, is of length 6858, mapped to Complement, on beginning location of: 4589965
Sequence 25612, is of length 8450, mapped to Original, on beginning location of: 3365047
Sequence 25615, is of length 5783, mapped to Complement, on beginning location of: 3625863
